id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,㸴,㸴,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,俊,俊,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,向,向,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,姜,姜,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,孫,孫,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,尹,尹,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,徐,徐,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,旀,旀,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,曺,曺,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,朴,朴,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,李,李,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,沈,沈,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,獨孤,獨孤,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,眞,眞,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,辻,辻,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,鄭,鄭,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,金,金,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,韓,韓,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,감,감,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,강,강,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,곽,곽,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,길,길,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,김,김,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,노,노,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,독고,독고,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,명,명,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,민,민,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,박,박,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,범,범,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,염,염,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,오,오,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,윤,윤,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,이,이,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,인,인,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,임,임,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,장,장,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,전,전,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,정,정,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,한,한,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,홍,홍,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,황,황,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Hangul,Gender.unisex,Category:Korean surnames
,𨳈,𨳈,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Han,Gender.unisex,Category:Korean surnames
,Bae,Bae,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Baek,Baek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Bak,Bak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Byun,Byun,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Chang,Chang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Cheon,Cheon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Cho,Cho,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Choe,Choe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Choi,Choi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Choy,Choy,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Chung,Chung,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Eom,Eom,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Hahn,Hahn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Han,Han,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Jang,Jang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Jeong,Jeong,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Joh,Joh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Joo,Joo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Joung,Joung,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Jung,Jung,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Kang,Kang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Kim,Kim,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Ku,Ku,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Kwak,Kwak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
,Lee,Lee,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,kor,Latin,Gender.unisex,Category:English surnames from Korean
