id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Arjîn,Arjîn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Berfîn,Berfîn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Bêrîvan,Bêrîvan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Delal,Delal,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Evîn,Evîn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Gulistan,Gulistan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Hawa,Hawa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Hêlîn,Hêlîn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Rojda,Rojda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Rojîn,Rojîn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Sarya,Sarya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Xezal,Xezal,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Zelal,Zelal,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Zozan,Zozan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.female,Category:Northern Kurdish female given names
,Adar,Adar,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Aram,Aram,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Ardî,Ardî,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Armanc,Armanc,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Arêz,Arêz,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Avdar,Avdar,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Awaz,Awaz,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Azad,Azad,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Badîn,Badîn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Bager,Bager,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Bahoz,Bahoz,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Baran,Baran,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Barnas,Barnas,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Bawer,Bawer,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Bedirxan,Bedirxan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Bengî,Bengî,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Berxwedan,Berxwedan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Berzan,Berzan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Bextewar,Bextewar,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Biryar,Biryar,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
,Cano,Cano,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kur,Latin,Gender.male,Category:Northern Kurdish male given names
