id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Chanthavong,Chanthavong,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Inthavong,Inthavong,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Kham,Kham,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Manivong,Manivong,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Noy,Noy,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Phommachanh,Phommachanh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Sayavong,Sayavong,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Siharath,Siharath,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Thammavong,Thammavong,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Thammavongsa,Thammavongsa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
,Xayavong,Xayavong,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,lao,Latin,Gender.unisex,Category:English surnames from Lao
