id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71072,Abbia,Abbia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71073,Abbius,Abbius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71074,Achillinus,Achillinus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71075,Braheus,Braheus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71076,Candolleus,Candolleus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71077,Cartesius,Cartesius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71078,Chaixius,Chaixius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71079,Chmielnicius,Chmielnicius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71080,Copernicus,Copernicus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71081,Drusus,Drusus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71082,Galileus,Galileus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71083,Gerlachus,Gerlachus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71084,Goesius,Goesius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71085,Hordienko,Hordienko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71086,Junta,Junta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71087,Juntinus,Juntinus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71088,Keplerus,Keplerus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71089,Leibnitius,Leibnitius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71090,Linnaeus,Linnaeus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71091,Lockius,Lockius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71092,Osiander,Osiander,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71093,Ptolemaeus,Ptolemaeus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71094,Roletus,Roletus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71095,Smalcius,Smalcius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71096,Stradivarius,Stradivarius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71097,Tzetzes,Tzetzes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
71098,Zonaras,Zonaras,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lat,Latin,Gender.unisex,Category:Latin surnames
