id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Agate,Agate,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Agita,Agita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Agnese,Agnese,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Agra,Agra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Agrita,Agrita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Aiga,Aiga,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Aija,Aija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Aina,Aina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Aira,Aira,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Airita,Airita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Aiva,Aiva,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Aivita,Aivita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Aleksandra,Aleksandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Aleksandrīna,Aleksandrīna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Alina,Alina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Alise,Alise,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Alla,Alla,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Alma,Alma,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Alvīna,Alvīna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Alvīne,Alvīne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Alīna,Alīna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Amanda,Amanda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Amālija,Amālija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Anastasija,Anastasija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Ance,Ance,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Anda,Anda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
,Andra,Andra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lav,Latin,Gender.female,Category:Latvian female given names
