id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71099,Alksnis,Alksnis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71100,Apinis,Apinis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71101,Apsītis,Apsītis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71102,Auniņš,Auniņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71103,Auziņš,Auziņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71104,Avotiņš,Avotiņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71105,Balodis,Balodis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71106,Baltiņš,Baltiņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71107,Barons,Barons,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71108,Birznieks,Birznieks,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71109,Bite,Bite,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71110,Brencis,Brencis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71111,Brice,Brice,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71112,Briedis,Briedis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71113,Bērziņš,Bērziņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71114,Caune,Caune,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71115,Celmiņš,Celmiņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71116,Celms,Celms,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71117,Cīrulis,Cīrulis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71118,Dzenis,Dzenis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71119,Dūmiņš,Dūmiņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71120,Eglītis,Eglītis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71121,Jansons,Jansons,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71122,Jaunzems,Jaunzems,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71123,Kalniņš,Kalniņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71124,Kalējs,Kalējs,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71125,Karašausks,Karašausks,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71126,Kauliņš,Kauliņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71127,Kaņeps,Kaņeps,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71128,Krastiņš,Krastiņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71129,Krieviņš,Krieviņš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
71130,Krievs,Krievs,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,lav,Latin,Gender.unisex,Category:Latvian surnames
