id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Agnė,Agnė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Agota,Agota,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Airinė,Airinė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Aistė,Aistė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Akvilė,Akvilė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Albina,Albina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Aldona,Aldona,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Aleksandra,Aleksandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Alfreda,Alfreda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Alina,Alina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Alma,Alma,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Alvyra,Alvyra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Amalija,Amalija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Anastazija,Anastazija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Anelė,Anelė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Angela,Angela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Antanina,Antanina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Arūnė,Arūnė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Aspazija,Aspazija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Asta,Asta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Audra,Audra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Audronė,Audronė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Aurelija,Aurelija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Austėja,Austėja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Aušra,Aušra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Aušrinė,Aušrinė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Baltija,Baltija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Barbora,Barbora,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Beata,Beata,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Birutė,Birutė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Brigita,Brigita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Bronislova,Bronislova,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Daina,Daina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Daiva,Daiva,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Dalia,Dalia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Daliutė,Daliutė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Danguolė,Danguolė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Danutė,Danutė,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Diana,Diana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Donata,Donata,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
,Dorotėja,Dorotėja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,lit,Latin,Gender.female,Category:Lithuanian female given names
