id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
112550,Baby,Baby,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112551,Balachandran,Balachandran,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112552,Eapen,Eapen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112553,Kuriakose,Kuriakose,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112554,Lukose,Lukose,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112555,Nair,Nair,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112556,Nambiar,Nambiar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112557,Nambissan,Nambissan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112558,Nayyar,Nayyar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112559,Ninan,Ninan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112560,Oommen,Oommen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112561,Panicker,Panicker,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112562,Pillai,Pillai,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112563,Rajendran,Rajendran,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112564,Ramachandran,Ramachandran,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112565,Tharoor,Tharoor,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112566,Thottam,Thottam,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112567,Varghese,Varghese,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112568,Varkey,Varkey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112569,Varughese,Varughese,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112570,Venugopal,Venugopal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
112571,Viswanathan,Viswanathan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mal,Latin,Gender.unisex,Category:English surnames from Malayalam
