id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71296,कुलकर्णी,कुलकर्णी,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71297,कोल्टे,कोल्टे,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71298,खरात,खरात,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71299,खोटे,खोटे,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71300,गडकरी,गडकरी,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71301,गीते,गीते,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71302,गोखले,गोखले,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71303,चितळे,चितळे,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71304,चौधरी,चौधरी,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71305,जैन,जैन,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71306,ठाकरे,ठाकरे,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71307,तेंडुलकर,तेंडुलकर,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71308,परब,परब,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71309,पवार,पवार,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71310,मंगेशकर,मंगेशकर,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71311,राऊत,राऊत,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
71312,शिंदे,शिंदे,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Devanagari,Gender.unisex,Category:Marathi surnames
112586,Bhagwat,Bhagwat,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Latin,Gender.unisex,Category:English surnames from Marathi
112587,Chavan,Chavan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Latin,Gender.unisex,Category:English surnames from Marathi
112588,Chokshi,Chokshi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mar,Latin,Gender.unisex,Category:English surnames from Marathi
