surnames,given_names,total,language_id
13789,585,14374,pol
10105,1438,11543,ita
4206,7333,11539,jpn
9531,160,9691,ron
4956,3551,8507,eng
4244,1392,5636,deu
3429,1366,4795,fra
2260,930,3190,spa
1896,800,2696,ceb
1753,418,2171,tgl
1050,1080,2130,por
1614,348,1962,gle
142,1690,1832,tur
1783,0,1783,zho
809,966,1775,fin
0,1660,1660,fao
120,1499,1619,ell
1147,466,1613,nld
459,1044,1503,nor
529,916,1445,swe
735,691,1426,rus
713,695,1408,ces
49,1226,1275,isl
680,589,1269,hye
304,818,1122,est
288,802,1090,dan
162,805,967,heb
27,827,854,lat
311,493,804,ara
272,462,734,hbs
326,403,729,hun
210,509,719,fas
268,419,687,slk
100,565,665,lav
324,172,496,eus
37,430,467,haw
139,315,454,vie
83,368,451,nrf
38,411,449,lit
314,119,433,slv
291,132,423,kat
198,214,412,cat
0,392,392,kal
308,81,389,glg
167,220,387,hin
202,175,377,tel
0,369,369,mkd
19,347,366,kaz
33,321,354,sqi
124,227,351,ind
196,137,333,non
226,101,327,ukr
128,175,303,cym
20,269,289,san
188,99,287,bul
110,144,254,bel
56,184,240,yor
86,130,216,ben
0,213,213,cop
20,185,205,aze
0,183,183,bak
115,66,181,yid
35,121,156,oci
0,154,154,mya
149,0,149,pam
0,147,147,egy
0,146,146,glv
0,145,145,bre
119,0,119,pan
0,115,115,hau
111,0,111,ilo
101,0,101,nya
24,77,101,gla
34,64,98,tam
97,0,97,pag
64,33,97,afr
92,0,92,kor
89,0,89,hil
0,86,86,mri
73,8,81,mlt
0,79,79,epo
78,0,78,xno
0,73,73,osx
70,0,70,nav
0,70,70,sma
22,45,67,mal
0,60,60,bod
0,59,59,kur
24,33,57,uzb
49,0,49,cor
0,49,49,syr
0,45,45,egl
45,0,45,mar
0,45,45,urd
25,19,44,fry
0,40,40,abk
0,39,39,sco
39,0,39,bik
0,37,37,tuk
0,37,37,tha
36,0,36,khm
36,0,36,amh
0,33,33,arc
0,30,30,xpi
0,30,30,xtg
27,0,27,war
0,27,27,mga
0,26,26,xvn
0,20,20,wym
19,0,19,zha
17,0,17,guj
0,17,17,got
0,16,16,txh
16,0,16,ibo
15,0,15,scn
0,15,15,ast
0,15,15,kan
13,0,13,aka
0,13,13,xpr
0,12,12,uig
0,12,12,swa
11,0,11,lao
0,11,11,zza
0,11,11,som
0,9,9,mon
0,7,7,cim
0,6,6,rgn
0,6,6,tat
0,5,5,pox
0,3,3,arg
