id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
35111,Reconstruction:Proto-Celtic/Awiganyos,Reconstruction:Proto-Celtic/Awiganyos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35112,Reconstruction:Proto-Celtic/Dagorīxs,Reconstruction:Proto-Celtic/Dagorīxs,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35113,Reconstruction:Proto-Celtic/Dubnogenos,Reconstruction:Proto-Celtic/Dubnogenos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35114,Reconstruction:Proto-Celtic/Dubnowalos,Reconstruction:Proto-Celtic/Dubnowalos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35115,Reconstruction:Proto-Celtic/Esugenos,Reconstruction:Proto-Celtic/Esugenos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35116,Reconstruction:Proto-Celtic/Iwogenos,Reconstruction:Proto-Celtic/Iwogenos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35117,Reconstruction:Proto-Celtic/Karatākos,Reconstruction:Proto-Celtic/Karatākos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35118,Reconstruction:Proto-Celtic/Katutigernos,Reconstruction:Proto-Celtic/Katutigernos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35119,Reconstruction:Proto-Celtic/Katuwalos,Reconstruction:Proto-Celtic/Katuwalos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35120,Reconstruction:Proto-Celtic/Katuwelnāmnos,Reconstruction:Proto-Celtic/Katuwelnāmnos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35121,Reconstruction:Proto-Celtic/Kengetorīxs,Reconstruction:Proto-Celtic/Kengetorīxs,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35122,Reconstruction:Proto-Celtic/Komgēstlos,Reconstruction:Proto-Celtic/Komgēstlos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35123,Reconstruction:Proto-Celtic/Korobilyos,Reconstruction:Proto-Celtic/Korobilyos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35124,Reconstruction:Proto-Celtic/Kunowalos,Reconstruction:Proto-Celtic/Kunowalos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35125,Reconstruction:Proto-Celtic/Kʷennowindos,Reconstruction:Proto-Celtic/Kʷennowindos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35126,Reconstruction:Proto-Celtic/Maglokunos,Reconstruction:Proto-Celtic/Maglokunos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35127,Reconstruction:Proto-Celtic/Medugenos,Reconstruction:Proto-Celtic/Medugenos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
35128,Reconstruction:Proto-Celtic/Rextugenos,Reconstruction:Proto-Celtic/Rextugenos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mga,Latin,Gender.male,Category:Proto-Celtic male given names
