id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Ѓурѓа,Ѓурѓа,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Ѓурѓина,Ѓурѓина,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Ѓурѓица,Ѓурѓица,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Ѕвезда,Ѕвезда,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Ѕвездана,Ѕвездана,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Ѕугра,Ѕугра,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Јагода,Јагода,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Јадранка,Јадранка,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Јана,Јана,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Јанка,Јанка,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Јасенка,Јасенка,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Јасмина,Јасмина,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
,Јасминка,Јасминка,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mkd,Cyrillic,Gender.female,Category:Macedonian female given names
