id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71223,Abdilla,Abdilla,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71224,Abela,Abela,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71225,Agius,Agius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71226,Apap,Apap,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71227,Aquilina,Aquilina,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71228,Attard,Attard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71229,Axiak,Axiak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71230,Axiaq,Axiaq,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71231,Azzopardi,Azzopardi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71232,Bajada,Bajada,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71233,Bezzina,Bezzina,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71234,Bigeni,Bigeni,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71235,Borg,Borg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71236,Briffa,Briffa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71237,Bugeja,Bugeja,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71238,Buhagiar,Buhagiar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
71239,Busietta,Busietta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mlt,Latin,Gender.unisex,Category:Maltese surnames
