id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
30456,Ani,Ani,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30457,Emere,Emere,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30458,Erana,Erana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30459,Hera,Hera,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30460,Hinerangi,Hinerangi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30461,Hoana,Hoana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30462,Hārata,Hārata,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30463,Hāriata,Hāriata,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30464,Hēni,Hēni,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30465,Hūhana,Hūhana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30466,Ihipera,Ihipera,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30467,Irihāpeti,Irihāpeti,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30468,Kararaina,Kararaina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30469,Mere,Mere,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30470,Mereana,Mereana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30471,Meri,Meri,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30472,Miriama,Miriama,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30473,Mākere,Mākere,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30474,Māta,Māta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30475,Pare,Pare,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30476,Peti,Peti,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30477,Pirihira,Pirihira,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30478,Riria,Riria,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30479,Riripeti,Riripeti,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30480,Ruiha,Ruiha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
30481,Ruihi,Ruihi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,mri,Latin,Gender.female,Category:Maori female given names
