id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,ကလျာ,ကလျာ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ကေ,ကေ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ကေသ,ကေသ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ကောင်း,ကောင်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ကြည်,ကြည်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ကြယ်,ကြယ်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ခင်,ခင်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ချစ်,ချစ်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ချမ်း,ချမ်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ချယ်ရီ,ချယ်ရီ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ချော,ချော,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,စန္ဒာ,စန္ဒာ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,စန္ဒီ,စန္ဒီ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,စန္ဒြာ,စန္ဒြာ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,စန်း,စန်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,စိန်,စိန်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဆန်း,ဆန်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဆု,ဆု,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဇွန်,ဇွန်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဉာဏ်,ဉာဏ်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ညို,ညို,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ညွန့်,ညွန့်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဌေး,ဌေး,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,တင်,တင်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ထင်,ထင်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ထွန်း,ထွန်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,နဒီ,နဒီ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,နန္ဒာ,နန္ဒာ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,နီ,နီ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,နီလာ,နီလာ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,နေ,နေ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,နှင်း,နှင်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ပန်း,ပန်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဖြူ,ဖြူ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဘရဏီ,ဘရဏီ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဘုန်း,ဘုန်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,မဉ္ဇူ,မဉ္ဇူ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,မာ,မာ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,မာလာ,မာလာ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,မိုး,မိုး,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,မေ,မေ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,မျိုး,မျိုး,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,မြ,မြ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,မြင့်,မြင့်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,မွန်,မွန်,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ယမင်း,ယမင်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ယုဇန,ယုဇန,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ရတနာ,ရတနာ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ရတီ,ရတီ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,လှ,လှ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဝင်း,ဝင်း,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဝတီ,ဝတီ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
,ဝါ,ဝါ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,mya,Myanmar,Gender.female,Category:Burmese female given names
