id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71329,Acothley,Acothley,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71330,Adakai,Adakai,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71331,Atcitty,Atcitty,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71332,Begay,Begay,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71333,Begaye,Begaye,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71334,Benallie,Benallie,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71335,Benally,Benally,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71336,Bitsillie,Bitsillie,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71337,Bitsilly,Bitsilly,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71338,Bitsuie,Bitsuie,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71339,Bylilly,Bylilly,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71340,Chee,Chee,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
71341,Clah,Clah,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nav,Latin,Gender.unisex,Category:Navajo surnames
