id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
9021,Aad,Aad,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9022,Aafje,Aafje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9023,Aagje,Aagje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9024,Aagtje,Aagtje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9025,Abby,Abby,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9026,Abelone,Abelone,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9027,Ada,Ada,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9028,Adelheid,Adelheid,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9029,Adelwijn,Adelwijn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9030,Adrie,Adrie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9031,Agatha,Agatha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9032,Alexandra,Alexandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9033,Ali,Ali,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9034,Alida,Alida,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9035,Amber,Amber,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9036,Anna,Anna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9037,Anne,Anne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9038,Anne-Marie,Anne-Marie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9039,Anneke,Anneke,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9040,Annelies,Annelies,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9041,Annemieke,Annemieke,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9042,Annie,Annie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9043,Anouk,Anouk,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9044,Ans,Ans,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9045,Astrid,Astrid,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9046,Barbara,Barbara,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9047,Bea,Bea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9048,Beatrijs,Beatrijs,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9049,Bella,Bella,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9050,Belle,Belle,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9051,Bep,Bep,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9052,Carmen,Carmen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9053,Caroline,Caroline,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9054,Catharijne,Catharijne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9055,Christa,Christa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9056,Christina,Christina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9057,Christine,Christine,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9058,Claudia,Claudia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9059,Co,Co,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9060,Cor,Cor,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9061,Cornelia,Cornelia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9062,Corrie,Corrie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9063,Daphne,Daphne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9064,Denise,Denise,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9065,Desiree,Desiree,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9066,Désirée,Désirée,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9067,Dirkje,Dirkje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
9068,Eliene,Eliene,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nld,Latin,Gender.female,Category:Dutch female given names
