id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Reconstruction:Old Norse/Austra,Reconstruction:Old Norse/Austra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Borghildr,Borghildr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Dagný,Dagný,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Eðna,Eðna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Gerðr,Gerðr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Grimhildr,Grimhildr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Gunnr,Gunnr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Gunnvǫr,Gunnvǫr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Guðrún,Guðrún,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Helga,Helga,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Hjǫrdís,Hjǫrdís,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Hreiðunn,Hreiðunn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Hróðný,Hróðný,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Inga,Inga,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Ingibjǫrg,Ingibjǫrg,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Ingiríðr,Ingiríðr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Jórunn,Jórunn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Ragnfríðr,Ragnfríðr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Ragnhildr,Ragnhildr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Rannveig,Rannveig,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Signý,Signý,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Sigríðr,Sigríðr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Ása,Ása,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Áshildr,Áshildr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Áslaug,Áslaug,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Ástríðr,Ástríðr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Þorný,Þorný,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.female,Category:Old Norse female given names
,Agmundr,Agmundr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,non,Latin,Gender.male,Category:Old Norse male given names
