id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71388,Aaby,Aaby,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71389,Aadland,Aadland,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71390,Aae,Aae,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71391,Aagaard,Aagaard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71392,Aagesen,Aagesen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71393,Aakre,Aakre,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71394,Aakvik,Aakvik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71395,Aaland,Aaland,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71396,Aalberg,Aalberg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71397,Aalvik,Aalvik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71398,Aamot,Aamot,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71399,Aandal,Aandal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71400,Aanensen,Aanensen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71401,Aanerud,Aanerud,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71402,Aanes,Aanes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71403,Aanestad,Aanestad,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71404,Aanonsen,Aanonsen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71405,Aanstad,Aanstad,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71406,Aardal,Aardal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71407,Aarflot,Aarflot,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71408,Aarnes,Aarnes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71409,Aarrestad,Aarrestad,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71410,Aarsand,Aarsand,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71411,Aarset,Aarset,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71412,Aarseth,Aarseth,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71413,Aarskog,Aarskog,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71414,Aarsland,Aarsland,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71415,Aarstad,Aarstad,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71416,Aarum,Aarum,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71417,Aarvik,Aarvik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71418,Aarønes,Aarønes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71419,Aasberg,Aasberg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71420,Aaserud,Aaserud,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71421,Aaseth,Aaseth,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71422,Aasgaard,Aasgaard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71423,Aasheim,Aasheim,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71424,Aasland,Aasland,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71425,Aaslund,Aaslund,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71426,Aass,Aass,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71427,Aavik,Aavik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71428,Abdi,Abdi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71429,Abelsen,Abelsen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71430,Abrahamsen,Abrahamsen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71431,Adamsen,Adamsen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71432,Adolfsen,Adolfsen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71433,Afzal,Afzal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71434,Aglen,Aglen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71435,Ahlsen,Ahlsen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71436,Ahmadi,Ahmadi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71437,Aker,Aker,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
71438,Akram,Akram,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nor,Latin,Gender.unisex,Category:Norwegian surnames
