id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
30591,Adeline,Adeline,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30592,Agathe,Agathe,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30593,Aliénor,Aliénor,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30594,Almaïde,Almaïde,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30595,Alzina,Alzina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30596,Ambre,Ambre,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30597,Âmice,Âmice,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30598,Anne,Anne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30599,Antoinette,Antoinette,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30600,Aonène,Aonène,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30601,Arlette,Arlette,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30602,Aspasie,Aspasie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30603,Aungèle,Aungèle,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30604,Aungélina,Aungélina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30605,Azelma,Azelma,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30606,Batilde,Batilde,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30607,Bellé,Bellé,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30608,Berrie,Berrie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30609,Berthe,Berthe,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30610,Berthille,Berthille,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30611,Betté,Betté,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30612,Bonne,Bonne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30613,Brunhilde,Brunhilde,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30614,Carolène,Carolène,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30615,Cathrène,Cathrène,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30616,Cath'rinne,Cath'rinne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30617,Cat'let,Cat'let,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30618,Cat'linne,Cat'linne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30619,Cécire,Cécire,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30620,Cédulie,Cédulie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30621,Célène,Célène,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30622,Chimâne,Chimâne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30623,Chinote,Chinote,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30624,Claudile,Claudile,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30625,Cllâodène,Cllâodène,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30626,Cllémentène,Cllémentène,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30627,Coline,Coline,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30628,Coralie,Coralie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
30629,Cyrille,Cyrille,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,nrf,Latin,Gender.female,Category:Norman female given names
