id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Carpentier,Carpentier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:Norman surnames
,de la Pole,de la Pole,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:Norman surnames
,de Stafford,de Stafford,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:Norman surnames
,Gouin,Gouin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:Norman surnames
,Lalonde,Lalonde,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:Norman surnames
,Tancred,Tancred,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:Norman surnames
,Ackert,Ackert,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Aglionby,Aglionby,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Agnew,Agnew,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Allman,Allman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Beaton,Beaton,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Bellew,Bellew,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Bethune,Bethune,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Bevill,Bevill,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Boffey,Boffey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Bosanquet,Bosanquet,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Bovell,Bovell,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Bracey,Bracey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Bussey,Bussey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Butters,Butters,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
,Canfield,Canfield,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,nrf,Latin,Gender.unisex,Category:English surnames from Norman
