id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
32125,Benedita,Benedita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32126,Beneseta,Beneseta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32127,Bernada,Bernada,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32128,Bèrta,Bèrta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32129,Camila,Camila,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32130,Catarina,Catarina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32131,Catarinon,Catarinon,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32132,Catin,Catin,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32133,Catisson,Catisson,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32134,Caton,Caton,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32135,Cecília,Cecília,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32136,Celestina,Celestina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32137,Celina,Celina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32138,Ermengarda,Ermengarda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32139,Ernestina,Ernestina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32140,Esclarmondèa,Esclarmondèa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32141,Estela,Estela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32142,Estèr,Estèr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32143,Esteveneta,Esteveneta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32144,Eugenia,Eugenia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32145,Èva,Èva,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32146,Francesa,Francesa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32147,Françon,Françon,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32148,Françoneta,Françoneta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32149,Frederica,Frederica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32150,Ivona,Ivona,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32151,Jausèpa,Jausèpa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32152,Ludivina,Ludivina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32153,Lulú,Lulú,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32154,Magalí,Magalí,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32155,Marta,Marta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32156,Menon,Menon,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32157,Michela,Michela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32158,Michelon,Michelon,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32159,Mirèlha,Mirèlha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
32160,Patrícia,Patrícia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,oci,Latin,Gender.female,Category:Occitan female given names
