id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Confinhal,Confinhal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Costa,Costa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Da Silva,Da Silva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Darnaudguilhem,Darnaudguilhem,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Diagana,Diagana,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Essartier,Essartier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Franquenstein,Franquenstein,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Jarossiá,Jarossiá,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Jaurés,Jaurés,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Laforcada,Laforcada,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Lavernha,Lavernha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Lestang,Lestang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Maurràs,Maurràs,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Mistral,Mistral,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Narcamp,Narcamp,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Nercamp,Nercamp,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Oienart,Oienart,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Ompraret,Ompraret,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Pardiac,Pardiac,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Pargada,Pargada,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Paries,Paries,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,París,París,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Parpalhon,Parpalhon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Pelegrin,Pelegrin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Penhs,Penhs,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Petit,Petit,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Petiton,Petiton,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Pradier,Pradier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Raspienjas,Raspienjas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Romanilha,Romanilha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Romieu,Romieu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Traoré,Traoré,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Van Coppenòlle,Van Coppenòlle,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Vancoppenolle,Vancoppenolle,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
,Vielescòt,Vielescòt,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,oci,Latin,Gender.unisex,Category:Occitan surnames
