id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71677,Abalos,Abalos,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71678,Agbuya,Agbuya,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71679,Aguilar,Aguilar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71680,Ancheta,Ancheta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71681,Bacani,Bacani,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71682,Balagot,Balagot,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71683,Balaoing,Balaoing,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71684,Ballesteros,Ballesteros,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71685,Baniqued,Baniqued,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71686,Bautista,Bautista,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71687,Binuya,Binuya,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71688,Bravo,Bravo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71689,Bugallon,Bugallon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71690,Bugayong,Bugayong,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71691,Bulatao,Bulatao,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71692,Caballero,Caballero,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71693,Cabanayan,Cabanayan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71694,Cabral,Cabral,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71695,Caguioa,Caguioa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71696,Calimlim,Calimlim,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71697,Camacho,Camacho,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71698,Caoagdan,Caoagdan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71699,Carbonell,Carbonell,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71700,Cardona,Cardona,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71701,Cariño,Cariño,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71702,Carvajal,Carvajal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71703,Castillo,Castillo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71704,Castro,Castro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71705,Cayabyab,Cayabyab,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71706,Cruz,Cruz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
71707,Dacumos,Dacumos,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pag,Latin,Gender.unisex,Category:Pangasinan surnames
