id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,اؤجلا,اؤجلا,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,باجوا,باجوا,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,براڑ,براڑ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,بھلا,بھلا,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,تکھر,تکھر,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,خان,خان,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,دوسانجھ,دوسانجھ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,رندھاوا,رندھاوا,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,سدھو,سدھو,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,سنگھ,سنگھ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,سوڈھی,سوڈھی,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,سوہی,سوہی,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,شیرگل,شیرگل,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,ورک,ورک,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,چاہل,چاہل,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,چیمہ,چیمہ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,ڈھلوں,ڈھلوں,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,گریوال,گریوال,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,گل,گل,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Arabic,Gender.unisex,Category:Punjabi surnames
,ਔਜਲਾ,ਔਜਲਾ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,pan,Gurmukhi,Gender.unisex,Category:Punjabi surnames
