id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71937,Abramowicz,Abramowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71938,Abraszewska,Abraszewska,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71939,Abraszewski,Abraszewski,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71940,Adach,Adach,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71941,Adamczak,Adamczak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71942,Adamczyk,Adamczyk,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71943,Adamek,Adamek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71944,Adamiak,Adamiak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71945,Adamiec,Adamiec,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71946,Adamik,Adamik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71947,Adamkiewicz,Adamkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71948,Adamkowicz,Adamkowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71949,Adamowicz,Adamowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71950,Adamska,Adamska,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71951,Adamski,Adamski,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71952,Adamus,Adamus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71953,Adasiak,Adasiak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71954,Adasiewicz,Adasiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71955,Adasik,Adasik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71956,Adaszkiewicz,Adaszkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71957,Adaś,Adaś,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71958,Adaśko,Adaśko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71959,Adrianowicz,Adrianowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71960,Adwentowicz,Adwentowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71961,Adydan,Adydan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71962,Agacka,Agacka,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71963,Agacki,Agacki,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71964,Agnieszczak,Agnieszczak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71965,Agopsowicz,Agopsowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71966,Ajdukiewicz,Ajdukiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71967,Albinowska,Albinowska,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71968,Albinowski,Albinowski,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71969,Alchimowicz,Alchimowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71970,Aleksandrowicz,Aleksandrowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71971,Aleksiewicz,Aleksiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71972,Alkiewicz,Alkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71973,Ambrosewicz,Ambrosewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71974,Ambroziak,Ambroziak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71975,Ambroziewicz,Ambroziewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71976,Ambrozik,Ambrozik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71977,Ambrożewicz,Ambrożewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71978,Ambrożkiewicz,Ambrożkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71979,Ancewicz,Ancewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71980,Andruchewicz,Andruchewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71981,Andruchowicz,Andruchowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71982,Andrukiewicz,Andrukiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71983,Andrulewicz,Andrulewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71984,Andrusewicz,Andrusewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71985,Andrusiewicz,Andrusiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71986,Andruszczak,Andruszczak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71987,Andruszkiewicz,Andruszkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71988,Andrych,Andrych,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71989,Andrychiewicz,Andrychiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71990,Andrysewicz,Andrysewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71991,Andrysiewicz,Andrysiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71992,Andryszczak,Andryszczak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71993,Andryszkiewicz,Andryszkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71994,Andrzejczak,Andrzejczak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71995,Andrzejczuk,Andrzejczuk,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71996,Andrzejczyk,Andrzejczyk,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71997,Andrzejewicz,Andrzejewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71998,Andrzejewska,Andrzejewska,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
71999,Andrzejewski,Andrzejewski,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72000,Andrzejkiewicz,Andrzejkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72001,Andrzejkowicz,Andrzejkowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72002,Anioł,Anioł,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72003,Anioła,Anioła,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72004,Aniołek,Aniołek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72005,Aniszkiewicz,Aniszkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72006,Aniśkiewicz,Aniśkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72007,Ankiewicz,Ankiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72008,Antas,Antas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72009,Antczak,Antczak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72010,Antecki,Antecki,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72011,Antkiewicz,Antkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72012,Antkowicz,Antkowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72013,Antochów,Antochów,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72014,Antolec,Antolec,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72015,Antoniewicz,Antoniewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72016,Antonkiewicz,Antonkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72017,Antonowicz,Antonowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72018,Antończyk,Antończyk,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72019,Antos,Antos,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72020,Antosiak,Antosiak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72021,Antosiewicz,Antosiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72022,Antosik,Antosik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72023,Antoszczyszyn,Antoszczyszyn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72024,Antoszkiewicz,Antoszkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72025,Antośkiewicz,Antośkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72026,Antuszewicz,Antuszewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72027,Anusewicz,Anusewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72028,Anusiewicz,Anusiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72029,Anuszczyk,Anuszczyk,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72030,Anuszkiewicz,Anuszkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72031,Anyszkiewicz,Anyszkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72032,Apanowicz,Apanowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72033,Aponowicz,Aponowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72034,Apryjas,Apryjas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72035,Arasmus,Arasmus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72036,Arcikiewicz,Arcikiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72037,Arcimowicz,Arcimowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72038,Arciuch,Arciuch,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72039,Arciuszkiewicz,Arciuszkiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72040,Arndt,Arndt,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72041,Artowicz,Artowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72042,Artysiewicz,Artysiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72043,Augusiewicz,Augusiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72044,Augustyn,Augustyn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72045,Augustyniak,Augustyniak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72046,Augustynowicz,Augustynowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72047,Awsiukiewicz,Awsiukiewicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72048,Axentowicz,Axentowicz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72049,Babczyńska,Babczyńska,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72050,Babczyński,Babczyński,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72051,Babecki,Babecki,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72052,Babiak,Babiak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
72053,Babiarz,Babiarz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,pol,Latin,Gender.unisex,Category:Polish surnames
