id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
35235,Alexa,Alexa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35236,Alexandra,Alexandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35237,Alexandrina,Alexandrina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35238,Alina,Alina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35239,Ana,Ana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35240,Ancuța,Ancuța,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35241,Andreea,Andreea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35242,Anuța,Anuța,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35243,Aurora,Aurora,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35244,Beatrice,Beatrice,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35245,Bianca,Bianca,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35246,Camelia,Camelia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35247,Carmen,Carmen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35248,Cătălina,Cătălina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35249,Codruța,Codruța,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35250,Corina,Corina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35251,Cornelia,Cornelia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35252,Cosmina,Cosmina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35253,Crina,Crina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35254,Cristina,Cristina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35255,Daciana,Daciana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35256,Dalila,Dalila,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35257,Doina,Doina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35258,Dorina,Dorina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35259,Elena,Elena,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35260,Elisabeta,Elisabeta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35261,Emilia,Emilia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35262,Flavia,Flavia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35263,Floarea,Floarea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
35264,Florica,Florica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ron,Latin,Gender.female,Category:Romanian female given names
