id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Вѧцьславе,Вѧцьславе,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Cyrillic,Gender.male,Category:Old Novgorodian male given names
,Жиꙁнобоуде,Жиꙁнобоуде,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Cyrillic,Gender.male,Category:Old Novgorodian male given names
,Игнато,Игнато,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Cyrillic,Gender.male,Category:Old Novgorodian male given names
,Нашьгостъ,Нашьгостъ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Cyrillic,Gender.male,Category:Old Novgorodian male given names
,Онѳиме,Онѳиме,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Cyrillic,Gender.male,Category:Old Novgorodian male given names
,ⰲⱁⱑⱅⰰ,ⰲⱁⱑⱅⰰ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Glagolitic,Gender.male,Category:Old Novgorodian male given names
,ⰳⱃⰺⰳⱁⱃⰺⱗ,ⰳⱃⰺⰳⱁⱃⰺⱗ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Glagolitic,Gender.male,Category:Old Novgorodian male given names
,ⰴⱁⰱⱃⱏ,ⰴⱁⰱⱃⱏ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Glagolitic,Gender.male,Category:Old Novgorodian male given names
,ⰴⱑⰴⱑⱅⰰ,ⰴⱑⰴⱑⱅⰰ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Glagolitic,Gender.male,Category:Old Novgorodian male given names
,ⰸⰰⰲⰹⰴⱏ,ⰸⰰⰲⰹⰴⱏ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,rus,Glagolitic,Gender.male,Category:Old Novgorodian male given names
