id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
94978,Абалкин,Абалкин,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94979,Абатуров,Абатуров,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94980,Аббас,Аббас,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94981,Абовян,Абовян,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94982,Абраамян,Абраамян,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94983,Абрамов,Абрамов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94984,Аваков,Аваков,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94985,Аванесов,Аванесов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94986,Аверин,Аверин,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94987,Адамов,Адамов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94988,Азимов,Азимов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94989,Азнавур,Азнавур,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
94990,Азов,Азов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,rus,Cyrillic,Gender.unisex,Category:Russian surnames
