id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,अर्जुन,अर्जुन,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,आर्यदेव​,आर्यदेव​,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,आर्यवर्मन्,आर्यवर्मन्,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,उलान,उलान,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,उषवदात,उषवदात,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,गन्धर्व,गन्धर्व,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,गोष्ठ,गोष्ठ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,चन्द्रगुप्त,चन्द्रगुप्त,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,तीर्थ,तीर्थ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,पुण्डरीक,पुण्डरीक,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,मणि,मणि,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,रघु,रघु,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,राघव,राघव,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,रामेश्वर,रामेश्वर,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,रोहित,रोहित,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,वैद्यनाथ,वैद्यनाथ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,शल्य,शल्य,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,शिव,शिव,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,सिंहल,सिंहल,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,सिद्धार्थ,सिद्धार्थ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,सूर्य,सूर्य,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,सोमनाथ,सोमनाथ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,होरमुर्ण्डग,होरमुर्ण्डग,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Devanagari,Gender.male,Category:Sanskrit male given names
,Aanya,Aanya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Aditi,Aditi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Aishwarya,Aishwarya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Amba,Amba,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Ambika,Ambika,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Ananda,Ananda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Ananya,Ananya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Anasuya,Anasuya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Anisha,Anisha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Antara,Antara,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Arpita,Arpita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Arundhati,Arundhati,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Arya,Arya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Asha,Asha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Biren,Biren,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Chandra,Chandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Chandrika,Chandrika,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Charu,Charu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Charvi,Charvi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Devaki,Devaki,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Devi,Devi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Dipannita,Dipannita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Diviya,Diviya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Divya,Divya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Durga,Durga,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Ganga,Ganga,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Gayatri,Gayatri,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Gita,Gita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Hema,Hema,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Indira,Indira,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Jalaja,Jalaja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Janaki,Janaki,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Janani,Janani,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Jaya,Jaya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Jayasri,Jayasri,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Jyotsna,Jyotsna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Kalavati,Kalavati,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Kali,Kali,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Kalpana,Kalpana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Kamala,Kamala,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Kausalya,Kausalya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Kiran,Kiran,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Kumari,Kumari,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Lakshmi,Lakshmi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Lalita,Lalita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Lavanya,Lavanya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Leela,Leela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Lila,Lila,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Maheshwari,Maheshwari,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Maitreyi,Maitreyi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Mallika,Mallika,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Manju,Manju,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Maya,Maya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Menaka,Menaka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Mohini,Mohini,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Padma,Padma,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Padmaja,Padmaja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Padmavati,Padmavati,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Padmini,Padmini,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Parvati,Parvati,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Prabha,Prabha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
,Preeti,Preeti,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,san,Latin,Gender.female,Category:English female given names from Sanskrit
