id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
118354,Adhikari,Adhikari,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118355,Agnihotri,Agnihotri,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118356,Ajay,Ajay,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118357,Bhatta,Bhatta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118358,Bhupathi,Bhupathi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118359,Daivajna,Daivajna,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118360,Date,Date,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118361,Dwivedi,Dwivedi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118362,Gautama,Gautama,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118363,Goswami,Goswami,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118364,Kala,Kala,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118365,Kishore,Kishore,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118366,Krishna,Krishna,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118367,Kumari,Kumari,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118368,Maheshwari,Maheshwari,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118369,Mitra,Mitra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118370,Mohan,Mohan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118371,Ranjan,Ranjan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118372,Vidyarthi,Vidyarthi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
118373,Yadav,Yadav,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,san,Latin,Gender.unisex,Category:English surnames from Sanskrit
