id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Aparo,Aparo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Buffa,Buffa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Cannavaro,Cannavaro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Ciaramitaro,Ciaramitaro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Coccimiglio,Coccimiglio,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Coco,Coco,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Cucchiara,Cucchiara,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Cunsolo,Cunsolo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Fauci,Fauci,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,La Cognata,La Cognata,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Mangiaracina,Mangiaracina,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Maugeri,Maugeri,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Musco,Musco,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Riina,Riina,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
,Ruvolo,Ruvolo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,scn,Latin,Gender.unisex,Category:English surnames from Sicilian
