id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Agatha,Agatha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Aggie,Aggie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Agnes,Agnes,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Aidan,Aidan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Ailsa,Ailsa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Annie,Annie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Dorcha,Dorcha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Edna,Edna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Leslie,Leslie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Nan,Nan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Nannie,Nannie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Nanse,Nanse,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Nansie,Nansie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Saurah,Saurah,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Sorcha,Sorcha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.female,Category:Scots female given names
,Aidan,Aidan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Airchibauld,Airchibauld,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Alexander,Alexander,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Ander,Ander,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Andra,Andra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Angus,Angus,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Chairles,Chairles,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Dauvit,Dauvit,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,George,George,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Hendry,Hendry,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Hugh,Hugh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Jeams,Jeams,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,John,John,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Leslie,Leslie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Peter,Peter,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Rabert,Rabert,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Stewart,Stewart,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Stuart,Stuart,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Tam,Tam,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Tammas,Tammas,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Weelum,Weelum,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Willum,Willum,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Wull,Wull,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
,Wullie,Wullie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,sco,Latin,Gender.male,Category:Scots male given names
