id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
36411,Adela,Adela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36412,Adelka,Adelka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36413,Adriána,Adriána,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36414,Agáta,Agáta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36415,Agnesa,Agnesa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36416,Albína,Albína,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36417,Alena,Alena,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36418,Alexandra,Alexandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36419,Alica,Alica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36420,Alžbeta,Alžbeta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36421,Amália,Amália,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36422,Anabela,Anabela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36423,Anastázia,Anastázia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36424,Andrea,Andrea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36425,Anežka,Anežka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36426,Angela,Angela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36427,Angelika,Angelika,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36428,Anna,Anna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36429,Antónia,Antónia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36430,Aurélia,Aurélia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
36431,Barbara,Barbara,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,slk,Latin,Gender.female,Category:Slovak female given names
