id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Ábel,Ábel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Baláž,Baláž,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Brezina,Brezina,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Chovan,Chovan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Chovanec,Chovanec,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Chudý,Chudý,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Cuda,Cuda,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Cudová,Cudová,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Dzurinda,Dzurinda,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Frano,Frano,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ftáčnik,Ftáčnik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Gašparovič,Gašparovič,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Hanzel,Hanzel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Harvan,Harvan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Hodža,Hodža,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Hodžová,Hodžová,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Holeš,Holeš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Holý,Holý,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Hríb,Hríb,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Hríbová,Hríbová,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ján,Ján,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Jurek,Jurek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Jurka,Jurka,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Jurko,Jurko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Káčer,Káčer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kocian,Kocian,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kolesár,Kolesár,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Koreň,Koreň,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kostra,Kostra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kostrová,Kostrová,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kováčová,Kováčová,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kováč,Kováč,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Koza,Koza,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kočan,Kočan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kočiš,Kočiš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kočišová,Kočišová,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Košút,Košút,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Králik,Králik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kráľ,Kráľ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Kráľová,Kráľová,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Lajčák,Lajčák,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ledecká,Ledecká,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ledecký,Ledecký,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Lipka,Lipka,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Macek,Macek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Mach,Mach,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Marek,Marek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Marko,Marko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Maro,Maro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Matus,Matus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Mucha,Mucha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Múdry,Múdry,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Novak,Novak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Novák,Novák,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ondrejka,Ondrejka,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ondrejko,Ondrejko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ondrus,Ondrus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ondrusek,Ondrusek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ondruš,Ondruš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ondrušek,Ondrušek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ondruška,Ondruška,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Ondruško,Ondruško,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Oravec,Oravec,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Očenáš,Očenáš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
,Palka,Palka,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slk,Latin,Gender.unisex,Category:Slovak surnames
