id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Agata,Agata,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Alenka,Alenka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Alja,Alja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Ana,Ana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Andreja,Andreja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Anuša,Anuša,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Berta,Berta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Bojana,Bojana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Božena,Božena,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Brina,Brina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Cilka,Cilka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Cvetka,Cvetka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Darja,Darja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Dijana,Dijana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Dominika,Dominika,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Doroteja,Doroteja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Elizabeta,Elizabeta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Ema,Ema,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Jasna,Jasna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Jelena,Jelena,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Jožica,Jožica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Katja,Katja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Klavdija,Klavdija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Lavra,Lavra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Lucija,Lucija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Maja,Maja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Marija,Marija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Marjana,Marjana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Marta,Marta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Mateja,Mateja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Melanija,Melanija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Mihaela,Mihaela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Mojca,Mojca,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Nada,Nada,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Nadja,Nadja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Nastja,Nastja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Natalija,Natalija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Nataša,Nataša,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Neja,Neja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Neža,Neža,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Nika,Nika,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Nuša,Nuša,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Olga,Olga,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Rebeka,Rebeka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Rozalija,Rozalija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Sara,Sara,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Saša,Saša,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Silva,Silva,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Špela,Špela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Tjaša,Tjaša,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Urška,Urška,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Uršula,Uršula,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Valentina,Valentina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Veronika,Veronika,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Vesna,Vesna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Vida,Vida,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Zala,Zala,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Zarja,Zarja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Zdenka,Zdenka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Zlata,Zlata,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Zoja,Zoja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Zora,Zora,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Željka,Željka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Živa,Živa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.female,Category:Slovene female given names
,Aleksander,Aleksander,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.male,Category:Slovene male given names
,Aleš,Aleš,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.male,Category:Slovene male given names
,Andraž,Andraž,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.male,Category:Slovene male given names
,Andrej,Andrej,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.male,Category:Slovene male given names
,Anton,Anton,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.male,Category:Slovene male given names
,Anže,Anže,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.male,Category:Slovene male given names
,Blaž,Blaž,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,slv,Latin,Gender.male,Category:Slovene male given names
