id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Abram,Abram,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Ahčin,Ahčin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Ajlec,Ajlec,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Alujevič,Alujevič,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Andolšek,Andolšek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Andreaš,Andreaš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Ankele,Ankele,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Arh,Arh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Arhar,Arhar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Arnejc,Arnejc,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Avsec,Avsec,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Avsenik,Avsenik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bačar,Bačar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bačič,Bačič,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bagar,Bagar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Barovič,Barovič,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Baš,Baš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Baša,Baša,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bavec,Bavec,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Belaj,Belaj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Belak,Belak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Belar,Belar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Beltram,Beltram,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bence,Bence,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bergles,Bergles,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Berglez,Berglez,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bernik,Bernik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bertok,Bertok,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bervar,Bervar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bešter,Bešter,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bežan,Bežan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bežek,Bežek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bizjak,Bizjak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Blatnik,Blatnik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Blaznik,Blaznik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Blažej,Blažej,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Blažek,Blažek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bobek,Bobek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Bokal,Bokal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Boškin,Boškin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Božič,Božič,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Cerjak,Cerjak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Cvek,Cvek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Cvetaš,Cvetaš,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Čebulj,Čebulj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Dežman,Dežman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Divjak,Divjak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Dobovišek,Dobovišek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Dobovšek,Dobovšek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Drnovšek,Drnovšek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
,Ekar,Ekar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,slv,Latin,Gender.unisex,Category:Slovene surnames
