id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
31018,Áile,Áile,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31019,Álehttá,Álehttá,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31020,Ánná,Ánná,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31021,Ánne,Ánne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31022,Bikká,Bikká,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31023,Biret,Biret,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31024,Ellá,Ellá,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31025,Elle,Elle,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31026,Gáddjá,Gáddjá,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31027,Gáren,Gáren,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31028,Gutnel,Gutnel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31029,Iŋgá,Iŋgá,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31030,Johánná,Johánná,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31031,Káre,Káre,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31032,Kirste,Kirste,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31033,Mággá,Mággá,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31034,Máret,Máret,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31035,Márgget,Márgget,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31036,Márjá,Márjá,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31037,Mártá,Mártá,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31038,Rávdná,Rávdná,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31039,Risten,Risten,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31040,Sárá,Sárá,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31041,Sáráhkká,Sáráhkká,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31042,Sire,Sire,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31043,Sofe,Sofe,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31044,Sunná,Sunná,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31045,Susánná,Susánná,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.female,Category:Northern Sami female given names
31046,Áilu,Áilu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.male,Category:Northern Sami male given names
31047,Ándaras,Ándaras,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.male,Category:Northern Sami male given names
31048,Ánde,Ánde,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.male,Category:Northern Sami male given names
31049,Ánte,Ánte,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.male,Category:Northern Sami male given names
31050,Áron,Áron,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.male,Category:Northern Sami male given names
31051,Áslat,Áslat,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.male,Category:Northern Sami male given names
31052,Ásllat,Ásllat,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,sma,Latin,Gender.male,Category:Northern Sami male given names
