id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
36949,Axmed,Axmed,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36950,Cabaas,Cabaas,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36951,Cabdille,Cabdille,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36952,Cali,Cali,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36953,Cumar,Cumar,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36954,Ibraahiim,Ibraahiim,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36955,Ismaaciil,Ismaaciil,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36956,Maxamed,Maxamed,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36957,Maxamuud,Maxamuud,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36958,Xasan,Xasan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
36959,Yuusuf,Yuusuf,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,som,Latin,Gender.male,Category:Somali male given names
