id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Ababa,Ababa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Abigaíl,Abigaíl,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Adela,Adela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Adelaida,Adelaida,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Adelia,Adelia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Adelina,Adelina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Adelita,Adelita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Adisoda,Adisoda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Adriana,Adriana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,África,África,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Águeda,Águeda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Agustina,Agustina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Aída,Aída,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Ainara,Ainara,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Ainhoa,Ainhoa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Aitana,Aitana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Alba,Alba,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Ale,Ale,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Aleja,Aleja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Alejandra,Alejandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Álex,Álex,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Alicia,Alicia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Alita,Alita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Alma,Alma,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
,Almu,Almu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,spa,Latin,Gender.female,Category:Spanish female given names
