id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Bala,Bala,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Berisha,Berisha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Çupi,Çupi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Dedaj,Dedaj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Dodaj,Dodaj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Gjebrea,Gjebrea,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Hila,Hila,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Hysenbelliu,Hysenbelliu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Jakupi,Jakupi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Kadare,Kadare,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Markaj,Markaj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Marki,Marki,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Marku,Marku,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Martin,Martin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Martinaj,Martinaj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Martini,Martini,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Qupi,Qupi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Shehu,Shehu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:Albanian surnames
,Camaj,Camaj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Cela,Cela,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Duro,Duro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Dushku,Dushku,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Hoxha,Hoxha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Juncaj,Juncaj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Koreshi,Koreshi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Kulla,Kulla,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Laskaj,Laskaj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Lipa,Lipa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Lulgjuraj,Lulgjuraj,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Marku,Marku,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Shehu,Shehu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Suma,Suma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
,Valla,Valla,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,sqi,Latin,Gender.unisex,Category:English surnames from Albanian
