id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Abrahamsson,Abrahamsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Alexandersson,Alexandersson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Alfvén,Alfvén,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Andersson,Andersson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Andreasson,Andreasson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,André,André,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Apell,Apell,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Arvidsson,Arvidsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Ask,Ask,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Axelsson,Axelsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Backström,Backström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bengtsson,Bengtsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Berg,Berg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Berggren,Berggren,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Berglund,Berglund,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bergman,Bergman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bergqvist,Bergqvist,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bergström,Bergström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bergvall,Bergvall,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bernadotte,Bernadotte,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Berzelius,Berzelius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bildt,Bildt,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Björk,Björk,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Björklund,Björklund,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Björkman,Björkman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Björn,Björn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Blom,Blom,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Blomqvist,Blomqvist,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Blomstrand,Blomstrand,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bolund,Bolund,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Borg,Borg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Boström,Boström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Brovall,Brovall,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Burman,Burman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bäckström,Bäckström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Bååth,Bååth,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Börjeson,Börjeson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Carlsson,Carlsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Cederström,Cederström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Cronström,Cronström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Dahl,Dahl,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Dahlberg,Dahlberg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Dahlbäck,Dahlbäck,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Dahlström,Dahlström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Danielsson,Danielsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Davidsson,Davidsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Ehrling,Ehrling,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Ek,Ek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Ekberg,Ekberg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Ekdahl,Ekdahl,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Ekelöf,Ekelöf,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Ekerlid,Ekerlid,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Eklund,Eklund,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Eklöf,Eklöf,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Ekström,Ekström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Eliasson,Eliasson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Englund,Englund,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Engström,Engström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Ericsson,Ericsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Eriksson,Eriksson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Erlandsson,Erlandsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Erlund,Erlund,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Fagerlund,Fagerlund,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Fallström,Fallström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Fjäll,Fjäll,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Forsberg,Forsberg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Forssell,Forssell,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Fransson,Fransson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Fredriksson,Fredriksson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Frisk,Frisk,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Glad,Glad,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Grafström,Grafström,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Granestrand,Granestrand,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Grönholm,Grönholm,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Gunnarsson,Gunnarsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Gustafsson,Gustafsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Gustavsson,Gustavsson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Göransson,Göransson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Hammare,Hammare,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Hansson,Hansson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Haverling,Haverling,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Hedborg,Hedborg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
,Hedenskog,Hedenskog,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,swe,Latin,Gender.unisex,Category:Swedish surnames
