id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,ܐܒܪܗܡ,ܐܒܪܗܡ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܐܒܪܡ,ܐܒܪܡ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܐܝܣܚܩ,ܐܝܣܚܩ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܐܝܣܪܐܝܠ,ܐܝܣܪܐܝܠ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܐܝܫܡܥܝܠ,ܐܝܫܡܥܝܠ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܐܢܛܘܢ,ܐܢܛܘܢ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܐܢܛܘܢܝܘܣ,ܐܢܛܘܢܝܘܣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܓܝܘܪܓܝܣ,ܓܝܘܪܓܝܣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܕܘܝܕ,ܕܘܝܕ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܕܢܚܐ,ܕܢܚܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܙܝܥܐ,ܙܝܥܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܚܕܒܫܒܐ,ܚܕܒܫܒܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܝܘܚܢܢ,ܝܘܚܢܢ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܝܫܘܥ,ܝܫܘܥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܠܘܩܐ,ܠܘܩܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܡܝܟܐܝܠ,ܡܝܟܐܝܠ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܡܪܩܘܣ,ܡܪܩܘܣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܡܬܝ,ܡܬܝ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܣܒܐ,ܣܒܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܣܒܪܝܫܘܥ,ܣܒܪܝܫܘܥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܥܒܕܝܫܘܥ,ܥܒܕܝܫܘܥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܥܡܢܘܐܝܠ,ܥܡܢܘܐܝܠ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܦܘܠܘܣ,ܦܘܠܘܣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܨܦܢܝܐ,ܨܦܢܝܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܫܐܘܠ,ܫܐܘܠ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܬܐܘܡܐ,ܬܐܘܡܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Assyrian Neo-Aramaic male given names
,ܐܒܪܗܡ,ܐܒܪܗܡ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܐܝܣܘܢ,ܐܝܣܘܢ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܐܝܣܚܩ,ܐܝܣܚܩ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܐܝܣܪܐܝܠ,ܐܝܣܪܐܝܠ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܐܝܫܝ,ܐܝܫܝ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܐܦܪܝܡ,ܐܦܪܝܡ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܐܪܡ,ܐܪܡ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܙܟܪܝܐ,ܙܟܪܝܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܚܢܢ,ܚܢܢ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܝܗܘܕܐ,ܝܗܘܕܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܝܘܚܢܢ,ܝܘܚܢܢ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܝܘܣܦ,ܝܘܣܦ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܝܘܫܝܐ,ܝܘܫܝܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܝܥܩܘܒ,ܝܥܩܘܒ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܝܫܘܥ,ܝܫܘܥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܟܐܦܐ,ܟܐܦܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܡܬܝ,ܡܬܝ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܢܪܣܝ,ܢܪܣܝ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܣܒܐ,ܣܒܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܣܢܚܪܝܒ,ܣܢܚܪܝܒ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܦܛܪܘܣ,ܦܛܪܘܣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܦܦܐ,ܦܦܐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
,ܫܡܥܘܢ,ܫܡܥܘܢ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,syr,Syriac,Gender.male,Category:Classical Syriac male given names
