id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
39211,అన్నపూర్ణ,అన్నపూర్ణ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39212,అమల,అమల,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39213,అరుంధతి,అరుంధతి,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39214,అరుణ,అరుణ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39215,అర్చన,అర్చన,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39216,అహల్య,అహల్య,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39217,ఆశ,ఆశ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39218,ఇందిర,ఇందిర,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39219,ఉమ,ఉమ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39220,ఊర్మిళ,ఊర్మిళ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39221,ఊర్వశి,ఊర్వశి,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39222,ఎలిజబెత్,ఎలిజబెత్,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39223,కమల,కమల,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39224,కల్పన,కల్పన,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39225,కామాక్షి,కామాక్షి,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39226,కీర్తి,కీర్తి,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39227,కౌసల్య,కౌసల్య,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39228,గాయత్రి,గాయత్రి,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39229,గిరిజ,గిరిజ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39230,గౌతమి,గౌతమి,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39231,గౌరి,గౌరి,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39232,చంద్రిక,చంద్రిక,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39233,ఛాయ,ఛాయ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
39234,జగ్గమ్మ,జగ్గమ్మ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,tel,Telugu,Gender.female,Category:Telugu female given names
