id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,กัลยาณี,กัลยาณี,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,กุลพันธ์,กุลพันธ์,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,จตุพล,จตุพล,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,จินตนา,จินตนา,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,ชลิตา,ชลิตา,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,นารี,นารี,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,ปัทมา,ปัทมา,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,ปีติ,ปีติ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,พรทิพย์,พรทิพย์,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,แมรี,แมรี,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,สุมิตรา,สุมิตรา,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,อนันต์,อนันต์,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,อารี,อารี,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.female,Category:Thai female given names
,จตุพล,จตุพล,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,จิรายุ,จิรายุ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ดุสิต,ดุสิต,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ถาวร,ถาวร,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,นพคุณ,นพคุณ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ปฐม,ปฐม,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ประวัติ,ประวัติ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ประสิทธิ์,ประสิทธิ์,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ประเสริฐ,ประเสริฐ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ปัญญา,ปัญญา,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ปิติ,ปิติ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,พลเดช,พลเดช,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ฟัก,ฟัก,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,วลาดีมีร์,วลาดีมีร์,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,วีรยุทธ,วีรยุทธ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,ศุภชัย,ศุภชัย,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,สมชาย,สมชาย,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,สุนทร,สุนทร,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,สุรเดช,สุรเดช,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,อนันต์,อนันต์,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,อลงกรณ์,อลงกรณ์,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,อับดุลเลาะ,อับดุลเลาะ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,อับราฮัม,อับราฮัม,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
,อารี,อารี,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,tha,Thai,Gender.male,Category:Thai male given names
