id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Akbaş,Akbaş,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Akdağ,Akdağ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Akdoğu,Akdoğu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Akkaya,Akkaya,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Akkaş,Akkaş,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Akkılıç,Akkılıç,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Akköz,Akköz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Aktuğ,Aktuğ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Akyol,Akyol,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Altıntop,Altıntop,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Avcı,Avcı,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Aytimur,Aytimur,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Aziz,Aziz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Babalı,Babalı,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Balbay,Balbay,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Baykal,Baykal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Binay,Binay,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Bulut,Bulut,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
,Burçak,Burçak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,tur,Latin,Gender.unisex,Category:Turkish surnames
