id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Reconstruction:Thracian/Amatakos,Reconstruction:Thracian/Amatakos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Dizazelmis,Reconstruction:Thracian/Dizazelmis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Ebruzelmis,Reconstruction:Thracian/Ebruzelmis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Kersobleptes,Reconstruction:Thracian/Kersobleptes,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Ketriporis,Reconstruction:Thracian/Ketriporis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Kotus,Reconstruction:Thracian/Kotus,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Rabokenthos,Reconstruction:Thracian/Rabokenthos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Raskuporis,Reconstruction:Thracian/Raskuporis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Raskus,Reconstruction:Thracian/Raskus,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Rumētalkas,Reconstruction:Thracian/Rumētalkas,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Seúthē,Reconstruction:Thracian/Seúthē,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Sitalkas,Reconstruction:Thracian/Sitalkas,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Sparatakos,Reconstruction:Thracian/Sparatakos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Tērēs,Reconstruction:Thracian/Tērēs,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Ziselmis,Reconstruction:Thracian/Ziselmis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
,Reconstruction:Thracian/Zoltēs,Reconstruction:Thracian/Zoltēs,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,txh,Latin,Gender.male,Category:Thracian male given names
