id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Єременко,Єременко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Єрмак,Єрмак,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Іванов,Іванов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Івасюк,Івасюк,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Іщенко,Іщенко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Їжакевич,Їжакевич,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Авраменко,Авраменко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Арестович,Арестович,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Арфуш,Арфуш,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Білодід,Білодід,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Бабченко,Бабченко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Баско,Баско,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Близнюк,Близнюк,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Бойко,Бойко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Вякін,Вякін,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Гілі,Гілі,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Геррінґтон,Геррінґтон,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Гоголь,Гоголь,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Голобородько,Голобородько,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Гордієнко,Гордієнко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Громико,Громико,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Гурченко,Гурченко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Дзиґар,Дзиґар,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Дзюбенко,Дзюбенко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Дзядко,Дзядко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Залізняк,Залізняк,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Залужний,Залужний,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Захаренко,Захаренко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Зеленський,Зеленський,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Зубенко,Зубенко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Кім,Кім,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Кличко,Кличко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Коваленко,Коваленко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Конлі,Конлі,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Кравченко,Кравченко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Кравчук,Кравчук,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Кропивницький,Кропивницький,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Кулеба,Кулеба,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Курбико,Курбико,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Кушнар,Кушнар,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Ленін,Ленін,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Литвиненко,Литвиненко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Лондон,Лондон,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Лотиш,Лотиш,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Лукашенко,Лукашенко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Макаренко,Макаренко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Матвійчук,Матвійчук,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Мельник,Мельник,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Могильов,Могильов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Мурашко,Мурашко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Нетребко,Нетребко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Павленко,Павленко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Панібудьласка,Панібудьласка,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Панас,Панас,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Пархоменко,Пархоменко,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Повх,Повх,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
,Подоляк,Подоляк,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ukr,Cyrillic,Gender.unisex,Category:Ukrainian surnames
