id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
41317,ساحل,ساحل,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.female,Category:Urdu female given names
41318,سامیہ,سامیہ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.female,Category:Urdu female given names
41319,شائستہ,شائستہ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.female,Category:Urdu female given names
41320,شبنم,شبنم,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.female,Category:Urdu female given names
41321,شہلا,شہلا,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.female,Category:Urdu female given names
41322,طوبی,طوبی,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.female,Category:Urdu female given names
41323,مریم,مریم,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.female,Category:Urdu female given names
41324,کرشمہ,کرشمہ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.female,Category:Urdu female given names
41325,آدم,آدم,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41326,آریامن,آریامن,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41327,ابھشیک,ابھشیک,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41328,ابھیشیک,ابھیشیک,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41329,احمد,احمد,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41330,ارجن,ارجن,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41331,اسفندیار,اسفندیار,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41332,اللہ قلی,اللہ قلی,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41333,امیتابھ,امیتابھ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41334,امید,امید,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41335,باہوبلی,باہوبلی,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41336,بشیر,بشیر,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41337,بہاؤالدین,بہاؤالدین,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41338,تیمور,تیمور,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41339,جاوید,جاوید,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41340,رمضان,رمضان,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41341,سامی,سامی,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41342,سکندر,سکندر,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41343,شائستہ,شائستہ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41344,شاہ قلی,شاہ قلی,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41345,شنتانو,شنتانو,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41346,طلعت,طلعت,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41347,عابد,عابد,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41348,عبد اللہ,عبد اللہ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41349,عزیز,عزیز,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41350,علی قلی,علی قلی,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41351,عمر,عمر,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41352,عیسی,عیسی,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41353,محمد,محمد,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41354,محمد قلی,محمد قلی,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41355,محیی الدین,محیی الدین,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
41356,مہدی قلی,مہدی قلی,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,urd,Arabic,Gender.male,Category:Urdu male given names
