id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Bekturdiyev,Bekturdiyev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Bekturdiyeva,Bekturdiyeva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Ergashev,Ergashev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Ergasheva,Ergasheva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Eshonov,Eshonov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Gʻaniyev,Gʻaniyev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Gʻaniyeva,Gʻaniyeva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Haqqiyev,Haqqiyev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Joʻrayev,Joʻrayev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Joʻrayeva,Joʻrayeva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Karimov,Karimov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Karimova,Karimova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Kayumov,Kayumov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Mahmudov,Mahmudov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Mahmudova,Mahmudova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Mirziyoyev,Mirziyoyev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Mirziyoyeva,Mirziyoyeva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Nazarbekov,Nazarbekov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Nazarbekova,Nazarbekova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Nurmatov,Nurmatov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Turgʻunboyev,Turgʻunboyev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Turgʻunboyeva,Turgʻunboyeva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Uzoqov,Uzoqov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
,Uzoqova,Uzoqova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,uzb,Latin,Gender.unisex,Category:Uzbek surnames
