id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Âu Dương,Âu Dương,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Bạch,Bạch,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Bành,Bành,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Bùi,Bùi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Cao,Cao,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Châu,Châu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Chu,Chu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Chung,Chung,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Cù,Cù,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Diệp,Diệp,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Doãn,Doãn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Dương,Dương,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Đàm,Đàm,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Đào,Đào,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Đặng,Đặng,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Đậu,Đậu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Đinh,Đinh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Đoàn,Đoàn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Đỗ,Đỗ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Đường,Đường,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Giang,Giang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Giáp,Giáp,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Hà,Hà,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Hàn,Hàn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Hàng,Hàng,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Hoàng,Hoàng,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Hoàng Phủ,Hoàng Phủ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Hồ,Hồ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Huỳnh,Huỳnh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Hứa,Hứa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Khánh,Khánh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Khổng,Khổng,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Khúc,Khúc,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Khương,Khương,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Kiều,Kiều,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Kim,Kim,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,La,La,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lã,Lã,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lạc,Lạc,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lại,Lại,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lâm,Lâm,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lê,Lê,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lí,Lí,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Liễu,Liễu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lục,Lục,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lữ,Lữ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lương,Lương,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Lưu,Lưu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Mã,Mã,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
,Mạc,Mạc,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,vie,Latin,Gender.unisex,Category:Vietnamese surnames
