id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
99485,Afable,Afable,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99486,Agbon,Agbon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99487,Bisnar,Bisnar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99488,Cabanatan,Cabanatan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99489,Castillo,Castillo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99490,de Guia,de Guia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99491,de Leon,de Leon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99492,dela Cruz,dela Cruz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99493,Espinosa,Espinosa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99494,Gabiana,Gabiana,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99495,Garcia,Garcia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99496,Llorente,Llorente,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99497,Mabansag,Mabansag,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99498,Mabilangan,Mabilangan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99499,Macabenta,Macabenta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99500,Manaog,Manaog,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99501,Mercado,Mercado,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99502,Mondragon,Mondragon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99503,Neri,Neri,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99504,Pagatpatan,Pagatpatan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99505,Pastrana,Pastrana,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99506,Roa,Roa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99507,Romualdez,Romualdez,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99508,Salomon,Salomon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99509,Sosa,Sosa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99510,Tamayo,Tamayo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
99511,Tolentino,Tolentino,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,war,Latin,Gender.unisex,Category:Waray-Waray surnames
