id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Archer,Archer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Avent,Avent,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Bailey,Bailey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Barrett,Barrett,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Barron,Barron,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Baskerville,Baskerville,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Basnett,Basnett,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Baynard,Baynard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Beal,Beal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Beaumont,Beaumont,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Bellamy,Bellamy,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Belmont,Belmont,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Bennet,Bennet,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Bennett,Bennett,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Blunt,Blunt,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Bourg,Bourg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Bourke,Bourke,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Brackett,Brackett,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Bracy,Bracy,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Brittain,Brittain,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
,Bunyard,Bunyard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,xno,Latin,Gender.unisex,Category:English surnames from Anglo-Norman
