id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Ἀργεντοκόξος,Ἀργεντοκόξος,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Greek,Gender.male,Category:Proto-Brythonic male given names
,Artognou,Artognou,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Awɨɣėn,Reconstruction:Proto-Brythonic/Awɨɣėn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Blėðɨjʉð,Reconstruction:Proto-Brythonic/Blėðɨjʉð,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Bodoɣnọw,Reconstruction:Proto-Brythonic/Bodoɣnọw,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Briɣoβ̃aɣlos,Reconstruction:Proto-Brythonic/Briɣoβ̃aɣlos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Inherited,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Broxoβ̃aɣl,Reconstruction:Proto-Brythonic/Broxoβ̃aɣl,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Inherited,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Duβnoɣen,Reconstruction:Proto-Brythonic/Duβnoɣen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Greek,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Duβnowal,Reconstruction:Proto-Brythonic/Duβnowal,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Greek,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Ėljʉð,Reconstruction:Proto-Brythonic/Ėljʉð,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Grifujʉð,Reconstruction:Proto-Brythonic/Grifujʉð,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Gwɨroɣal,Reconstruction:Proto-Brythonic/Gwɨroɣal,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Gwɨroɣnọw,Reconstruction:Proto-Brythonic/Gwɨroɣnọw,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Gwɨroɣust,Reconstruction:Proto-Brythonic/Gwɨroɣust,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Gworθɨɣern,Reconstruction:Proto-Brythonic/Gworθɨɣern,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Greek,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Gwurkʉβ̃,Reconstruction:Proto-Brythonic/Gwurkʉβ̃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Inherited,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Jʉðonerθ,Reconstruction:Proto-Brythonic/Jʉðonerθ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Greek,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Kadüdɨɣern,Reconstruction:Proto-Brythonic/Kadüdɨɣern,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Kaduwallọn,Reconstruction:Proto-Brythonic/Kaduwallọn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Karadọg,Reconstruction:Proto-Brythonic/Karadọg,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Kunowal,Reconstruction:Proto-Brythonic/Kunowal,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Kʉstentin,Reconstruction:Proto-Brythonic/Kʉstentin,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Llọwβ̃arx,Reconstruction:Proto-Brythonic/Llọwβ̃arx,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Inherited,Gender.male,Category:Proto-Brythonic male given names
,Reconstruction:Proto-Brythonic/Maɨlgun,Reconstruction:Proto-Brythonic/Maɨlgun,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,xpi,Latin,Gender.male,Category:Proto-Brythonic male given names
