id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
41407,Anduit,Anduit,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41408,Ariarith,Ariarith,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41409,Beremut,Beremut,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41410,Blumarit,Blumarit,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41411,Dagila,Dagila,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41412,Fredbalum,Fredbalum,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41413,Fridamal,Fridamal,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41414,Fridus,Fridus,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41415,Reconstruction:Vandalic/Gaisarīx,Reconstruction:Vandalic/Gaisarīx,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41416,Gamuth,Gamuth,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41417,Geilarith,Geilarith,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41418,Geisirith,Geisirith,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41419,Gento,Gento,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41420,Godigisel,Godigisel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41421,Guntha,Guntha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41422,Gunthamunds,Gunthamunds,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41423,Heldic,Heldic,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41424,Hildimer,Hildimer,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41425,Hildirix,Hildirix,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41426,Reconstruction:Vandalic/Hunirīx,Reconstruction:Vandalic/Hunirīx,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41427,Oageis,Oageis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41428,Oamer,Oamer,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41429,Scarila,Scarila,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41430,Thrasamunds,Thrasamunds,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41431,Vilimut,Vilimut,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
41432,Vitarit,Vitarit,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,xvn,Latin,Gender.male,Category:Vandalic male given names
