id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
41889,אסתּר,אסתּר,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41890,ביילע,ביילע,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41891,ברײַנע,ברײַנע,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41892,גאָלדע,גאָלדע,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41893,גיטל,גיטל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41894,חנה,חנה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41895,טײַבל,טײַבל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41896,יעל,יעל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41897,לאה,לאה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41898,מירל,מירל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41899,קאַדיע,קאַדיע,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41900,רבֿקה,רבֿקה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41901,רות,רות,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
41902,רחל,רחל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yid,Hebrew,Gender.female,Category:Yiddish female given names
