id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,אַבראַמאָוויטש,אַבראַמאָוויטש,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,אַדלער,אַדלער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,אָלמערט,אָלמערט,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,בלומבערג,בלומבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,בלומענטאַל,בלומענטאַל,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,בענעט,בענעט,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,בערגער,בערגער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,בראָק,בראָק,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,גאָטפֿריד,גאָטפֿריד,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,גאָלדבערג,גאָלדבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,גאָלדפֿאַדן,גאָלדפֿאַדן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,גוטפֿרײַנד,גוטפֿרײַנד,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,גילבערט,גילבערט,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,גינסבערג,גינסבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,געטע,געטע,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,גרינבוים,גרינבוים,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,גרינבערג,גרינבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,דימענט,דימענט,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,האָפֿמאַן,האָפֿמאַן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,האָראָוויץ,האָראָוויץ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,וואַרשאַווסקי,וואַרשאַווסקי,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ווײַנבערג,ווײַנבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ווײַנרײַך,ווײַנרײַך,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,זילבערבערג,זילבערבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,זילבערשטיין,זילבערשטיין,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,זימערמאַן,זימערמאַן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,זינגער,זינגער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,חיימאָוויץ,חיימאָוויץ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,טייטלבוים,טייטלבוים,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,טעמפּל,טעמפּל,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,לוקסעמבורג,לוקסעמבורג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ליסיצקי,ליסיצקי,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ליפּשיץ,ליפּשיץ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ליפֿשיץ,ליפֿשיץ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,לעוויט,לעוויט,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,מאַרטינעז,מאַרטינעז,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,מילער,מילער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,סאַנדלער,סאַנדלער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,סאַנדערס,סאַנדערס,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ספּיוואַק,ספּיוואַק,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ספּעקטאָר,ספּעקטאָר,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,עפּשטיין,עפּשטיין,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פֿאָרמאַן,פֿאָרמאַן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פֿוקס,פֿוקס,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פּרץ,פּרץ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פֿישמאַן,פֿישמאַן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פֿלײַשמאַן,פֿלײַשמאַן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פֿעלדמאַן,פֿעלדמאַן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פֿרידמאַן,פֿרידמאַן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פֿײַנבערג,פֿײַנבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פֿײַנגאָלד,פֿײַנגאָלד,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,פֿײַנשטיין,פֿײַנשטיין,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,צוקערבערג,צוקערבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,צימערמאַן,צימערמאַן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,קאַרלעבאַך,קאַרלעבאַך,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,קראַוּטהאַמער,קראַוּטהאַמער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,קרעמער,קרעמער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ראַבינאָוויטש,ראַבינאָוויטש,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ראַבינאָוויץ,ראַבינאָוויץ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ראָדריגעז,ראָדריגעז,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ראָזנפֿעלד,ראָזנפֿעלד,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ראָזענבערג,ראָזענבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ראָזענטאַל,ראָזענטאַל,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ראָזענצווײַג,ראָזענצווײַג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,ראָטשילד,ראָטשילד,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,רוזוועלט,רוזוועלט,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,שאַגאַל,שאַגאַל,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,שאָטנשטיין,שאָטנשטיין,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,שאַפּיראָ,שאַפּיראָ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,שאַרפֿשטיין,שאַרפֿשטיין,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,שווימער,שווימער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,שטערנבערג,שטערנבערג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,שלעזינגער,שלעזינגער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,שנײַדער,שנײַדער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,שרײַבער,שרײַבער,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Hebrew,Gender.unisex,Category:Yiddish surnames
,Altschuler,Altschuler,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Apt,Apt,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Bassin,Bassin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Bort,Bort,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Estrin,Estrin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Fingerman,Fingerman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Freilich,Freilich,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Frum,Frum,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Gelfand,Gelfand,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Gewirtz,Gewirtz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Gingold,Gingold,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Helfand,Helfand,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Hyams,Hyams,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Kirschenbaum,Kirschenbaum,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Leibel,Leibel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Mandel,Mandel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Manne,Manne,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Meyer,Meyer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Naiman,Naiman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Pasternak,Pasternak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Peskin,Peskin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Pevsner,Pevsner,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Pevzner,Pevzner,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Picker,Picker,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Rifkin,Rifkin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Salts,Salts,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Selig,Selig,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Seligson,Seligson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Shafran,Shafran,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Shapiro,Shapiro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Slavin,Slavin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Slotkin,Slotkin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Spector,Spector,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Tabak,Tabak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Teitelbaum,Teitelbaum,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
,Temkin,Temkin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,yid,Latin,Gender.unisex,Category:English surnames from Yiddish
