id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
41955,Abikẹ,Abikẹ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41956,Abimbọla,Abimbọla,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41957,Abiọdun,Abiọdun,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41958,Abọsẹde,Abọsẹde,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41959,Abẹkẹ,Abẹkẹ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41960,Abẹni,Abẹni,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41961,Adedire,Adedire,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41962,Adedure,Adedure,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41963,Aderonkẹ,Aderonkẹ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41964,Adeyẹmi,Adeyẹmi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41965,Ado,Ado,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41966,Adubi,Adubi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41967,Aina,Aina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41968,Ajari,Ajari,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41969,Ajayi,Ajayi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41970,Ajikẹ,Ajikẹ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41971,Ajọkẹ,Ajọkẹ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41972,Akankẹ,Akankẹ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
41973,Alaba,Alaba,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.female,Category:Yoruba female given names
