id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
99587,Abimbọla,Abimbọla,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99588,Adebayọ,Adebayọ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99589,Adeyẹmi,Adeyẹmi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99590,Adeyẹmọ,Adeyẹmọ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99591,Ajayi,Ajayi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99592,Ajewọle,Ajewọle,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99593,Akinlẹyẹ,Akinlẹyẹ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99594,Alaba,Alaba,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99595,Alimi,Alimi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99596,Aliyu,Aliyu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99597,Aragberi,Aragberi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99598,Audu,Audu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99599,Awobuluyi,Awobuluyi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99600,Awolọwọ,Awolọwọ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99601,Awoyale,Awoyale,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99602,Bakare,Bakare,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
99603,Balogun,Balogun,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,yor,Latin,Gender.unisex,Category:Yoruba surnames
