id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Banh,Banh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Cimz,Cimz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Cinz,Cinz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Danz,Danz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Fuz,Fuz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Lanz,Lanz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Liengz,Liengz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Lij,Lij,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Lingz,Lingz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Liz,Liz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Loz,Loz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Lungz,Lungz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Moz,Moz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Mungz,Mungz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Nungz,Nungz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Vangz,Vangz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Veiz,Veiz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Vuz,Vuz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
,Yangz,Yangz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zha,Latin,Gender.unisex,Category:Zhuang surnames
