id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,chhòa,chhòa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Latin,Gender.unisex,Category:Chinese surnames
,gô͘,gô͘,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Inherited,Gender.unisex,Category:Chinese surnames
,iûⁿ,iûⁿ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Latin,Gender.unisex,Category:Chinese surnames
,lâu,lâu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Latin,Gender.unisex,Category:Chinese surnames
,lí,lí,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Latin,Gender.unisex,Category:Chinese surnames
,lîm,lîm,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Latin,Gender.unisex,Category:Chinese surnames
,ngô͘,ngô͘,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Inherited,Gender.unisex,Category:Chinese surnames
,⿰土肅,⿰土肅,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,丁,丁,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,三,三,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,丌,丌,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,万俟,万俟,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,上官,上官,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,丌官,丌官,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,万紐于,万紐于,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,不,不,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,丏,丏,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,丐,丐,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
,丑,丑,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,zho,Han,Gender.unisex,Category:Chinese surnames
