id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
42139,Ardeşir,Ardeşir,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42140,Azat,Azat,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42141,Beran,Beran,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42142,Berq,Berq,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42143,Berğ,Berğ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42144,Bub,Bub,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42145,Feridun,Feridun,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42146,Hemed,Hemed,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42147,Neriman,Neriman,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42148,Talat,Talat,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
42149,Şahpur,Şahpur,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,zza,Latin,Gender.male,Category:Zazaki male given names
