status,gender,title,url,category_type,language_id,parent_cmtitle
split_category,unisex,Category:Given names by language,https://en.wiktionary.org/w/api.php,given_names,,
split_category,unisex,Category:'Are'are given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:'Are'are male given names,https://en.wiktionary.org/w/api.php,given_names,,Category:'Are'are given names
split_category,unisex,Category:Abkhaz given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
category,male,Category:Abkhaz male given names,https://en.wiktionary.org/w/api.php,given_names,abk,Category:Abkhaz given names
split_category,unisex,Category:Adyghe given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Adyghe male given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Adyghe given names
split_category,unisex,Category:Afar given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Afar female given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Afar given names
skipped,unisex,Category:Afar male given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Afar given names
split_category,unisex,Category:Afrikaans given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Afrikaans given names from Afroasiatic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from Ancient Greek,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans female given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from French,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from Germanic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from Hebrew,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from Hellenic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from Indo-European languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from Italic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
category,male,Category:Afrikaans male given names,https://en.wiktionary.org/w/api.php,given_names,afr,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from Proto-Germanic,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from Romance languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
skipped,unisex,Category:Afrikaans given names from Semitic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Afrikaans given names
split_category,unisex,Category:Aghwan given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Aghwan female given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Aghwan given names
skipped,unisex,Category:Aghwan male given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Aghwan given names
split_category,unisex,Category:Aka-Bo given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Aka-Bo female given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Aka-Bo given names
split_category,unisex,Category:Akan given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Akan male given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Akan given names
split_category,unisex,Category:Albanian given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Albanian given names from Afroasiatic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Albanian,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Albanian languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Ancient Greek,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Arabic,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Celtic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
category,female,Category:Albanian female given names,https://en.wiktionary.org/w/api.php,given_names,sqi,Category:Albanian given names
skipped,unisex,Category:Albanian given names from French,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Hebrew,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Hellenic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Illyrian,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Indo-European languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Indo-Iranian languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Iranian languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Italic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Latin,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
category,male,Category:Albanian male given names,https://en.wiktionary.org/w/api.php,given_names,sqi,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Persian,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Proto-Celtic,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Romance languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Semitic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Spanish,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Turkic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
skipped,unisex,Category:Albanian given names from Turkish,https://en.wiktionary.org/w/api.php,given_names,,Category:Albanian given names
split_category,unisex,Category:Alemannic German given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Alemannic German given names from Afroasiatic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Ancient Greek,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Balto-Slavic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Celtic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German female given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from French,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Hebrew,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Hellenic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Indo-European languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Italic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Latin,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
category,male,Category:Alemannic German male given names,https://en.wiktionary.org/w/api.php,given_names,deu,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Old Irish,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Polish,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Romance languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Semitic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
skipped,unisex,Category:Alemannic German given names from Slavic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Alemannic German given names
split_category,unisex,Category:Aleut given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Aleut female given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Aleut given names
skipped,unisex,Category:Aleut male given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Aleut given names
skipped,unisex,Category:Aleut unisex given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Aleut given names
split_category,unisex,Category:Amharic given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Amharic male given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Amharic given names
split_category,unisex,Category:Ancient Greek given names,https://en.wiktionary.org/w/api.php,given_names,,Category:Given names by language
skipped,unisex,Category:Ancient Greek given names from Afroasiatic languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Ancient Greek given names
skipped,unisex,Category:Ancient Greek given names from Anatolian languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Ancient Greek given names
skipped,unisex,Category:Ancient Greek given names from Ancient Macedonian,https://en.wiktionary.org/w/api.php,given_names,,Category:Ancient Greek given names
skipped,unisex,Category:Ancient Greek given names from Aramaic,https://en.wiktionary.org/w/api.php,given_names,,Category:Ancient Greek given names
skipped,unisex,Category:Ancient Greek given names from Dacian,https://en.wiktionary.org/w/api.php,given_names,,Category:Ancient Greek given names
skipped,unisex,Category:Ancient Greek given names from Egyptian,https://en.wiktionary.org/w/api.php,given_names,,Category:Ancient Greek given names
skipped,unisex,Category:Ancient Greek given names from Egyptian languages,https://en.wiktionary.org/w/api.php,given_names,,Category:Ancient Greek given names
